time,open,high,low,close,Volume,Plot,Plot.1
2023-11-11 03:00:00,55.92,56.01,54.53,55.84,383919.39,49.01599553511371,56.40610496542194
2023-11-11 04:00:00,55.82,55.82,53.8,54.56,415903.9,49.53506012067528,56.60336805102729
2023-11-11 05:00:00,54.56,54.95,54.07,54.6,200532.73,49.95931223309362,56.707642204608504
2023-11-11 06:00:00,54.6,55.55,54.4,55.42,248808.83,50.40662779725832,56.85317258720172
2023-11-11 07:00:00,55.41,56.0,53.55,54.26,401246.87,50.63361634439127,56.76580588974271
2023-11-11 08:00:00,54.27,55.05,53.8,54.87,344940.38,50.90953727650205,56.74918219509293
2023-11-11 09:00:00,54.86,55.84,54.14,54.51,348168.03,51.36559642404317,56.946950899724705
2023-11-11 10:00:00,54.51,55.28,54.26,55.19,152067.91,51.70469013219247,57.02752092549214
2023-11-11 11:00:00,55.19,55.7,54.81,55.25,237161.25,52.02408303162382,57.09894770591832
2023-11-11 12:00:00,55.25,56.58,55.02,56.48,421024.98,52.55464607261766,57.41308697155445
2023-11-11 13:00:00,56.48,59.82,56.38,59.68,1269208.91,51.63295651285092,59.1751590232478
2023-11-11 14:00:00,59.69,63.95,59.3,62.09,2026442.62,50.74614647263158,61.21323131680625
2023-11-11 15:00:00,62.09,62.97,58.88,60.89,1078584.35,51.07344766028977,61.02997135933066
2023-11-11 16:00:00,60.89,62.49,60.89,61.31,663870.02,51.74542010473467,61.28208734550963
2023-11-11 17:00:00,61.31,61.5,58.1,58.97,967822.2,52.19967664330207,61.29712746943396
2023-11-11 18:00:00,58.96,59.37,58.43,58.55,317133.83,52.547530552155045,61.20995961279405
2023-11-11 19:00:00,58.55,60.61,58.47,60.53,391736.21,52.99386998538368,61.259014837855425
2023-11-11 20:00:00,60.53,60.53,57.11,57.67,579907.27,53.05264015547113,60.88270526418518
2023-11-11 21:00:00,57.67,58.83,57.32,58.1,325312.55,53.36737138033218,60.8225541504681
2023-11-11 22:00:00,58.11,58.81,56.91,58.2,404800.16,53.54711984496859,60.628666520432915
