time,open,high,low,close,Plot,Plot.1,Volume
2022-01-01 00:00:00,3676.22,3730.0,3676.22,3723.04,,,9023.374
2022-01-01 01:00:00,3723.04,3748.45,3714.1,3724.89,,,8997.7569
2022-01-01 02:00:00,3724.88,3738.47,3722.23,3728.32,,,5028.4531
2022-01-01 03:00:00,3728.41,3737.0,3721.84,3723.96,,,3543.1853
2022-01-01 04:00:00,3723.96,3728.07,3707.24,3708.21,,,6117.282
2022-01-01 05:00:00,3708.2,3765.27,3702.84,3735.61,,,9353.2056
2022-01-01 06:00:00,3735.6,3742.67,3708.33,3711.92,,,5239.0026
2022-01-01 07:00:00,3711.93,3724.93,3701.0,3715.31,,,6541.6499
2022-01-01 08:00:00,3715.32,3733.84,3708.6,3721.4,,,4013.6403
2022-01-01 09:00:00,3721.14,3730.0,3709.38,3718.67,,,4515.6636
2022-01-01 10:00:00,3718.67,3731.88,3673.46,3691.39,,,10412.4737
2022-01-01 11:00:00,3691.39,3712.19,3691.02,3693.37,,,4786.2173
2022-01-01 12:00:00,3693.38,3718.24,3693.37,3716.28,,,6595.553
2022-01-01 13:00:00,3716.28,3724.93,3706.32,3710.03,,,5715.5972
2022-01-01 14:00:00,3710.04,3713.68,3691.88,3697.61,,,5365.4474
2022-01-01 15:00:00,3697.04,3745.36,3693.22,3725.3,,,9380.2088
2022-01-01 16:00:00,3725.29,3749.98,3718.71,3727.62,,,6785.1471
2022-01-01 17:00:00,3727.61,3764.98,3727.24,3760.77,,,8926.8519
2022-01-01 18:00:00,3760.76,3766.0,3740.0,3752.58,,,6665.3581
2022-01-01 19:00:00,3752.58,3757.86,3736.0,3747.61,3705.685938556722,3780.5482807497865,4873.0628
2022-01-01 20:00:00,3747.6,3776.45,3740.35,3761.02,3709.517415373257,3784.4571611383735,6487.7575
2022-01-01 21:00:00,3761.02,3776.0,3745.91,3748.65,3702.911601656697,3777.717896639661,7198.952
2022-01-01 22:00:00,3748.66,3764.15,3740.0,3757.89,3711.369755000607,3786.346921768295,3630.0868
2022-01-01 23:00:00,3757.89,3774.9,3745.0,3765.54,3731.9011285458264,3807.293070536651,4947.9699
2022-01-02 00:00:00,3765.54,3771.0,3750.2,3761.58,3723.337544572654,3798.556484867051,6290.6611
2022-01-02 01:00:00,3761.57,3763.66,3742.34,3747.0,3703.8386100205457,3778.663632445203,4118.8931
2022-01-02 02:00:00,3747.0,3753.36,3741.8,3746.5,3703.437587866369,3778.254508833367,3989.1066
2022-01-02 03:00:00,3746.5,3760.87,3743.0,3758.55,3701.845178981668,3776.629930072206,3984.8703
2022-01-02 04:00:00,3758.13,3761.92,3717.3,3724.34,3670.044138375354,3744.1864442011192,7402.0298
2022-01-02 05:00:00,3724.34,3745.74,3720.17,3744.69,3684.95362278208,3759.397130313031,4625.3465
2022-01-02 06:00:00,3744.69,3749.98,3737.55,3738.52,3689.540797643427,3764.0769753735976,3775.6677
2022-01-02 07:00:00,3738.52,3751.93,3734.2,3747.22,3694.5660122733234,3769.2037094909665,3462.824
2022-01-02 08:00:00,3747.22,3748.64,3732.39,3744.0,3699.1921336998535,3773.923287916012,4211.9792
2022-01-02 09:00:00,3744.0,3770.0,3738.17,3753.48,3704.349127251317,3779.184463155384,5684.8528
2022-01-02 10:00:00,3753.49,3758.8,3740.0,3743.16,3698.9696322620807,3773.696291499699,3436.4218
2022-01-02 11:00:00,3743.17,3756.98,3741.02,3744.01,3703.485089278857,3778.302969870349,3543.5882
2022-01-02 12:00:00,3744.06,3759.83,3730.33,3753.95,3709.1977998691345,3784.13108875538,5411.3372
2022-01-02 13:00:00,3753.95,3756.94,3739.86,3745.28,3698.633015127906,3773.352874019379,4588.9759
2022-01-02 14:00:00,3745.29,3757.43,3743.0,3752.59,3698.437288610151,3773.1531934305585,4998.8423
