time,open,high,low,close,Plot,Plot,Volume
1725418800,2364.44,2382.48,2364.07,2373,2356.5676202996437,2430.82290939203,11681.3111
1725422400,2372.99,2380.1,2366.12,2378.6,2357.009836602725,2430.5247854126887,6379.2723
1725426000,2378.59,2381.45,2363.56,2365.24,2337.648305564184,2409.819004131648,13134.6059
1725429600,2365.24,2383.94,2365.24,2372.52,2338.360276831203,2409.8199984868224,9309.1195
1725433200,2372.51,2414.71,2370.6,2401.52,2357.752161139887,2429.0730729883253,16896.3521
1725436800,2401.52,2410.83,2395.6,2401.4,2359.18070472827,2429.8205040067014,10457.5852
1725440400,2401.41,2405,2392.6,2393.4,2352.019173399926,2421.7298482180604,10948.859
1725444000,2393.4,2403.4,2387.15,2389.14,2346.254118858729,2415.088326409825,8271.4321
1725447600,2389.14,2403.2,2388.9,2398.77,2351.6168500365584,2419.908455891168,6942.7586
1725451200,2398.77,2413.81,2395.05,2403.18,2353.557795651576,2421.212463839198,16367.9783
1725454800,2403.18,2410,2394.77,2404.98,2350.002758993512,2416.870099656549,15633.3075
1725458400,2404.98,2450.68,2393.16,2438.49,2393.0112667974886,2460.4118779190144,34957.7701
1725462000,2438.49,2458.57,2426.5,2455.4,2419.4721676582803,2486.92710754243,24280.9611
1725465600,2455.39,2490,2450,2477.12,2431.4289990245966,2498.530058781583,24538.217
1725469200,2477.12,2477.96,2447.81,2449.49,2409.55020236949,2475.3734093909384,12731.0707
1725472800,2449.49,2457.16,2439.2,2442.39,2401.628181345831,2466.5700392572826,6891.7159
1725476400,2442.39,2455.32,2440.5,2452.16,2417.6648867416347,2482.377884928557,4060.7819
1725480000,2452.15,2459.6,2446.01,2455.38,2418.609313272789,2482.69163152895,5645.6907
1725483600,2455.39,2465.63,2451.28,2463.13,2423.1781358504954,2486.7310543945227,2830.0018
1725487200,2463.13,2469.55,2458.61,2462.71,2426.583850118753,2489.581407028694,4800.1296
1725490800,2462.71,2464.62,2443.32,2450.71,2421.328454089746,2483.552885102207,4734.8495
1725494400,2450.71,2462.35,2447.17,2454.75,2423.820275219396,2485.4779350097565,9054.5627
