time,open,high,low,close,Plot,Plot,Volume
1716321600,3712.26,3749.95,3709.13,3746.88,3372.9475643560395,3970.3834053548944,17736.2709
1716325200,3746.88,3760.5,3737.35,3749.27,3382.0821631555104,3974.6206694973916,14345.1652
1716328800,3749.28,3821.5,3749.27,3813.8,3417.9513555073254,4010.267025907815,30481.1009
1716332400,3813.79,3816.66,3785.5,3789.6,3424.340641950129,4011.320712945628,16079.9197
1716336000,3789.59,3803.5,3775.21,3782,3433.460194913602,4015.619101383948,14278.9454
1716339600,3782.01,3789.06,3775.6,3789.05,3447.3777611306855,4025.561099610757,10438.1778
1716343200,3789.06,3807.54,3774.91,3793.15,3451.1279247349553,4023.671979373907,17273.4304
1716346800,3793.15,3813.69,3784.35,3793.43,3460.0019249445813,4027.807022705655,16669.7957
1716350400,3793.42,3795.07,3720.01,3749.5,3452.57667663896,4013.037511777699,39861.1741
1716354000,3749.49,3766.15,3737.57,3758.39,3476.3437227756767,4034.5664160735473,18633.2093
1716357600,3758.4,3772.35,3754.15,3765.6,3482.106344332076,4035.2188175877354,13481.8878
1716361200,3765.6,3769.5,3735.1,3746.79,3479.9721219864923,4026.783562521059,11722.6931
1716364800,3746.8,3779.8,3734.38,3767.43,3499.5291713073584,4043.4874221646905,13259.5485
1716368400,3767.43,3768.65,3729.07,3731.79,3500.899055407414,4039.2101570723466,14777.9399
1716372000,3731.79,3748.32,3724.8,3740.02,3512.116946716029,4046.341870570916,12790.7102
1716375600,3740.01,3749.91,3690,3690.6,3488.239617581351,4013.127451842213,24894.9077
1716379200,3690.59,3722.76,3653.15,3666.96,3481.3211644692537,3999.5395956973525,44576.763
1716382800,3666.97,3704.59,3666.01,3695.79,3479.267777415125,3991.620084550777,28286.2028
1716386400,3695.79,3754.61,3679.35,3744.53,3508.133687529974,4019.1944286589105,57260.0229
1716390000,3744.53,3773.88,3723.08,3762.66,3527.203306154353,4035.5334341871467,37323.8408
1716393600,3762.65,3779.73,3745.41,3762.36,3517.882943250612,4019.438565469058,34386.632
1716397200,3762.41,3798,3728.21,3740.01,3501.2528653369827,3995.0935967861215,29283.5832
1716400800,3740,3744,3700.6,3733.43,3487.119968443699,3973.7056688893563,24245.1277
1716404400,3733.44,3747.3,3721.8,3736.61,3491.518576638253,3973.5097748752128,22914.962
1716408000,3736.61,3771,3729.71,3749.23,3484.299489406219,3960.1557221623434,25417.256
1716411600,3749.23,3781,3723.38,3774.5,3490.4710148785866,3962.081069033047,30106.9841
1716415200,3774.5,3779.79,3736.72,3744.95,3474.841923100017,3939.331496850944,22866.5732
1716418800,3744.95,3748.76,3734.45,3737.73,3477.8332666529736,3937.7664041373023,10187.9423
1716422400,3737.72,3771.61,3737.72,3761.04,3497.6922789186033,3955.3235156911387,9679.1392
1716426000,3761.03,3773.11,3736.67,3759.49,3500.2413995486586,3953.330104492999,15046.0903
1716429600,3759.49,3776.4,3757.5,3769.63,3504.722563772183,3953.564143808383,13289.6871
1716433200,3769.63,3788.86,3757.15,3782.11,3506.293782988279,3950.5616756288223,13390.5606
1716436800,3782.1,3794.75,3765.8,3790.4,3516.0088814578335,3956.7735080122925,12927.0509
1716440400,3790.41,3790.41,3762.82,3768.02,3517.597440783812,3953.87811111669,10161.3323
1716444000,3768.01,3800,3759.41,3790.19,3527.9001706576755,3960.8146156511784,14660.6841
1716447600,3790.2,3833.65,3780.09,3814,3544.6478850247304,3975.0037254345825,32416.3415
1716451200,3813.99,3814.28,3790.94,3811.82,3551.1805534725986,3977.7590811186747,17615.3032
1716454800,3811.82,3846.19,3803.58,3808.6,3556.302749166524,3978.97077141515,29490.2443
1716458400,3808.6,3848.63,3801.12,3828.22,3558.3140337466352,3976.743374856543,34813.4719
1716462000,3828.21,3925.24,3827.49,3918.46,3591.7727137860925,4009.6671852973827,58069.1493
1716465600,3918.45,3949.29,3723,3865.46,3572.306661685348,3983.540775813278,79899.9391
1716469200,3865.45,3901.74,3730,3781.61,3509.2745841701435,3908.9827720774697,121056.9919
1716472800,3781.62,3824.24,3752.78,3763.99,3502.519348065499,3897.2439267936384,53595.1024
1716476400,3763.98,3840,3759,3812.95,3529.0105910429666,3922.5218230858654,35589.6539
1716480000,3812.96,3821.57,3770.7,3796.42,3524.2228746689957,3913.0536788579725,20988.391
1716483600,3796.42,3827.77,3779.92,3784.33,3521.8768924703554,3906.3510455889523,19816.5675
1716487200,3784.34,3794.37,3685,3776.58,3516.965880950689,3896.8571726612026,83658.1035
1716490800,3776.57,3824,3751.1,3791.34,3516.3726195031004,3892.1985794037437,31908.1499
1716494400,3791.33,3791.45,3498,3756.01,3553.9391246253076,3929.7808924503256,139094.7226
1716498000,3756.01,3901,3720,3843.4,3573.594724039175,3947.538208292435,217905.0329
1716501600,3843.4,3847.19,3795.98,3811,3566.0149076250814,3935.240551083751,31129.2354
1716505200,3811,3813.04,3751.68,3783.61,3586.6838871261216,3954.1457070443334,31665.1312
1716508800,3783.6,3829.61,3744.34,3813.21,3587.799002625996,3951.5129917946815,23867.7749
1716512400,3813.2,3826.41,3795.08,3810.2,3590.2918123372924,3950.4362950391596,13232.6968
1716516000,3810.2,3828.91,3794.04,3822,3610.2498839225427,3968.595179498388,12722.1312
1716519600,3822,3825.79,3798.89,3803.82,3611.7601479089326,3966.494346287098,9694.9958
1716523200,3803.82,3815.63,3795.02,3804.22,3608.56291085484,3959.2666618854487,10370.3763
1716526800,3804.22,3812.38,3726.06,3728.47,3590.8436318665167,3936.167686435339,32202.816
1716530400,3728.47,3741.48,3670.08,3672.7,3570.065680299861,3909.794947810599,44839.2596
1716534000,3672.69,3691.22,3651,3679.24,3582.2594825366937,3919.5797242866565,35232.6467
1716537600,3679.24,3682,3626.1,3674,3582.579218190049,3916.3988949186323,32026.0607
1716541200,3674,3691.55,3645.04,3684.8,3591.2515248696204,3922.378727570444,15080.5876
1716544800,3684.8,3713.28,3681.21,3699.63,3589.715368239521,3917.2400805686566,23292.4796
1716548400,3699.63,3717.67,3693.23,3712.62,3588.31512395974,3912.290311748355,11190.5174
1716552000,3712.62,3725.8,3699.07,3714.69,3594.3777030501356,3915.5100632316216,15786.3771
1716555600,3714.69,3726,3678.99,3684.14,3570.6929305384183,3886.3780387846027,19209.3203
1716559200,3684.14,3731.87,3671.15,3708.86,3609.946394836216,3925.770738166832,23825.6061
1716562800,3708.87,3732.83,3688.39,3693.67,3628.115944610007,3942.2183529073204,26574.1218
1716566400,3693.66,3700.6,3655.26,3665.2,3627.367020717071,3938.12969492784,29671.9404
1716570000,3665.2,3712.16,3664.75,3711.36,3647.9152976881555,3957.1806703382367,18647.005
1716573600,3711.36,3759,3708.37,3732.85,3644.9646775513247,3950.760123706613,27447.015
1716577200,3732.85,3748.75,3720.57,3744.4,3649.243153739253,3952.208913050186,17070.7512
1716580800,3744.4,3755.05,3731.4,3732.11,3629.4664592060685,3927.6533087034745,22139.4546
1716584400,3732.1,3747,3725.74,3736.34,3626.4033754552624,3921.238104578921,6927.6681
1716588000,3736.35,3741.79,3730.19,3737.38,3616.9864817809566,3907.9966063000384,3542.3404
1716591600,3737.37,3739.28,3723.01,3728.28,3600.516500928743,3887.18933464082,4824.4892
1716595200,3728.28,3728.93,3709.03,3711.73,3594.2735593165453,3877.474830496441,5603.6622
1716598800,3711.73,3728.29,3710.81,3717.12,3595.9738206311276,3876.365243513178,5393.0808
1716602400,3717.13,3736.51,3715,3732.99,3605.858912047766,3884.1010123427964,6108.5257
1716606000,3732.99,3747.72,3726,3745.26,3603.090877324095,3878.2329450514394,8151.574
1716609600,3745.26,3779.43,3745.26,3769.11,3606.239238358031,3878.76384516557,15544.1386
1716613200,3769.1,3771.51,3750.22,3752.55,3603.857326093712,3873.3766467210517,5773.2607
1716616800,3752.55,3758.94,3744.4,3748.21,3601.052912151411,3867.5697459193884,7340.481
1716620400,3748.2,3759.64,3744.6,3746.6,3605.198332082701,3869.2560197172475,5245.3255
1716624000,3746.6,3754.39,3741,3742.82,3610.6331442437836,3872.3484946665935,5278.3092
1716627600,3742.82,3760.93,3737.02,3759,3621.6672695297443,3881.463116710653,8543.7506
1716631200,3759.01,3773.42,3750.9,3767.07,3637.1186952053463,3895.3212798167606,7669.1592
1716634800,3767.07,3775,3736.42,3739.39,3623.7299551818232,3878.3191714233944,11060.1358
1716638400,3739.39,3743.2,3719.8,3737.47,3627.2355725977404,3879.434132388453,16680.0902
1716642000,3737.47,3747.1,3725.4,3734.17,3624.579057940527,3873.9860687416076,6026.0455
1716645600,3734.18,3753.73,3730.25,3747.95,3626.194740681736,3873.1327856909516,7176.8422
1716649200,3747.95,3758.2,3741.63,3743.79,3623.090594087766,3867.2668450622587,5843.8638
1716652800,3743.8,3755.85,3742.2,3748.46,3625.168192793257,3866.959822636745,4456.8271
1716656400,3748.45,3752,3736.68,3741.06,3632.869716214641,3872.6719978305105,3970.4809
1716660000,3741.06,3760,3740,3759.62,3641.8175882800087,3879.728059993885,3736.3411
1716663600,3759.61,3766.02,3754.22,3757.64,3639.7881025743104,3875.11134907981,4494.5457
1716667200,3757.65,3760.28,3743.73,3745.36,3638.1886314435687,3870.9810153332305,3011.2923
1716670800,3745.35,3747.7,3739.32,3746.03,3641.4278906310155,3872.023770282394,2437.4052
1716674400,3746.03,3746.15,3730.12,3737.66,3641.4599679491716,3869.6796389849433,5366.1386
1716678000,3737.66,3751.93,3737.58,3749.26,3649.901399111909,3876.2916868874518,3800.6233
1716681600,3749.25,3750.4,3741.73,3745.21,3641.795352842894,3865.354643761753,3035.0496
1716685200,3745.2,3760.49,3745.2,3757.99,3642.289179605779,3863.5749685921055,4556.914
1716688800,3757.99,3760.2,3731.17,3737.6,3628.673755112618,3846.8614791301998,6373.029
1716692400,3737.6,3772.93,3734.44,3771.59,3639.0670022673207,3855.626425709207,14756.1107
1716696000,3771.59,3771.6,3745,3748.34,3634.9111411016365,3848.996429158031,5321.7436
1716699600,3748.34,3762.39,3741.16,3760.53,3644.6683766404853,3857.119173252334,3950.5098
1716703200,3760.54,3762.58,3752.55,3759.95,3644.3383500228797,3854.584316439362,3613.3762
